name,founded_year,country_code,state_code,zip_code,city,address1,address2,raised_amount
ACE Group,2010,USA,NY,10013,New York,154 Grand St.,,0
Ace Marketing & Promotions,1998,USA,NY,11581,Valley Stream,47 Rockaway Avenue,,0
Ace Metrix,2007,USA,CA,90025,Los Angeles,1950 Sawtelle Blvd.,Suite 360,10700000.0
Ace Ventures,2009,DEU,,14469,Potsdam,Johann-Goercke-Allee 12,,0
ACE*COMM,1983,USA,MD,20878,Gaithersburg,704 Quince Orchard Road,Suite 100,2300000.0
ACEBLUE,2009,FRA,,92500,RUEIL-MALMAISON,16 place des Arts,,0
AcelRx Pharmaceuticals,,USA,CA,94063,Redwood City,575 Chesapeake Drive,,0
Acendi Interactive,,USA,CA,94127,San Francisco,58 West Portal Avenue Box 124,,2090000.0
Acer,1976,TWN,,221,Taipei,,,0
Aceris 3D Inspection,2000,CAN,,H9X 3T1,Montreal,19501 Clark Graham,Suite 300,4880000.0
acerno,2004,USA,NY,10168,New York,"122 E. 42nd st,",suite 805,0
Acesys India,2010,IND,,400602,"Thane, Maharashtra","12, Prabhu Niwas","Tekdi Bunglow, Teen Petrol Pump, LBS Road,",0
Acetylon Pharmaceuticals,2008,USA,MA,,Boston,,,21650000.0
Aceva Technologies,1999,USA,CA,94404,San Mateo,1810 Gateway Drive,Suite 360,5280000.0
ACGMedia,1987,USA,CA,90503,Torrance,21311 Madrona Ave,Suite 101,0
AchaLa,2009,BRA,,,Rio de Janeiro,,,30000.0
Achaogen,,USA,CA,94080,South San Francisco ,7000 Shoreline Court, Suite 371 ,82000000.0
Achates Power,2004,USA,CA,92121,San Diego,4060 Sorrento Valley Boulevard,,31300000.0
Acheive CCA,,USA,IN,47708,Evansville,"101 NW 1st Street, Suite 201",,5000000.0
Acheive Internet,1998,USA,CA,92109,San Diego,1767 Grand Ave,Suite 2,0
AcheteurDurable.com,,FRA,,92100,Boulogne-Billancourt,16 rue de solferino,,0
ACHICA,2010,GBR,,W1S 1JY,London,20 Hanover Square,Mayfair,0
Achieve Beyond,1995,USA,NY,10010,New York,60 Madison Avenue,8th Floor,0
Achieve X,2008,USA,PA,19428,Conshohocken,PO BOX 921,,150000.0
Achieve3000,,USA,NJ,08701,Lakewood,1091 River Avenue,,9000000.0
Achievers Point Knowledge Systems,2004,IND,,110003,New Delhi,"1497, Wazir Nagar",Defence Colony ICICI Bank,0
Achievo(R) Corporation,,USA,CA,94583-2539,San Ramon,2633 Camino Ramon Ste 100,,24000000.0
Achill Online Internet Solutions,1998,IRL,,,Achill Island,Bridgann House,Achill Sound,0
Achilles Group,1990,GBR,,OX14 4SH,Abingdon,30 Park Gate,Milton Park,2500000.0
Achillion Pharmaceuticals,1998,USA,CT,06511,New Haven,300 George Street,,50100000.0
Achronix,2004,USA,CA,95110,San Jose,333 West San Carlos Street ,Suite 1050,0
Achronix Semiconductor,2004,USA,CA,95110 ,San Jose,333 West San Carlos Street,Suite 1050,122400000.0
achtQuark,2004,DEU,,80798,Munich,Hessstr. 36,,0
Acidophil,,USA,MD,21093,Baltimore,"2330 West Joppa Road, Suite 330 ",,0
Aciron Consulting,2006,USA,MA,02139,Cambridge,320 Putnam Avenue,,0
Acknowledgement,2003,GBR,,N1 7TE,London,11-29 Fashion Street,,0
Ackuna,2011,USA,NY,10018,New York,545 8th Ave,Suite 1250,0
Acliff Technologies,2009,IND,,500084,Hyderabad,"#202, Plot 14, Green Hamlet","Shilpa Park, Kondapur",0
ACM Tech,2007,ITA,,12100,Cuneo,Via Caraglio 5,,0
ACME BPO Consulting,,PHL,,1229 ,Makati City,"Coherco Corporate Center 116 VA Rufino Street, Legazpi Village ",,0
ACME Group,1976,IND,,400 056,Mumbai,"Acme Ghar,19, K.D.Road,Vile Parle (W)",,0
Acme Mobile,2003,SGP,,078989,Singapore,50 B Tras Street,,0
Acme Packet,,USA,MA,01730,Bedford,100 Crosby Drive,,0
ACNielsen,1923,USA,NY,,New York,,,0
Acognita,2008,USA,PA,19355,Malvern,40 Lloyd Ave,Suite 105,0
Acologix,1992,USA,CA,94545,Hayward,3960 Point Eden Way,,0
ACOM Solutions,1983,USA,CA,90806-2313,Long Beach,2850 East 29th Street,,0
